"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"167","15","74","24","71","264","141","99","75","195","69","227","81","109","159","207","114","277","96","53","40","52","236","79","230"
"167","15","74","24","71","264","141","112","75","195","69","227","81","109","159","207","114","277","96","53","40","52","236","79","230"
"167","15","74","24","71","264","141","112","75","195","69","227","81","109","159","207","114","277","96","53","40","52","236","79","230"
"167","15","74","24","71","264","141","112","75","195","69","227","81","109","159","207","114","277","96","53","40","52","236","79","196"
"167","15","74","24","71","264","141","112","75","195","69","227","81","115","159","207","114","277","96","53","40","52","236","79","196"
"167","15","74","24","71","264","141","112","75","195","69","227","81","115","159","207","114","277","96","53","40","52","236","79","196"
"167","15","74","24","71","264","141","112","75","195","69","227","81","115","159","207","114","277","96","53","40","52","236","79","196"
"167","15","74","24","71","264","141","112","75","195","69","227","81","115","159","207","114","277","96","53","40","52","236","79","196"
"167","15","74","24","71","264","141","112","75","195","69","227","81","115","159","207","114","277","96","53","40","52","236","88","196"
"167","15","74","24","71","264","141","112","75","195","69","227","81","115","159","207","114","277","96","53","40","52","236","88","196"
"167","15","74","24","71","264","141","112","75","195","69","227","81","115","159","207","114","277","96","53","40","52","236","88","196"
"167","15","74","24","71","264","141","112","75","195","69","227","81","115","159","207","114","277","91","53","40","52","236","88","196"
"167","15","74","24","71","264","141","112","75","195","69","227","81","116","159","207","114","277","91","53","40","52","236","88","196"
"167","15","74","24","71","264","141","112","75","195","69","227","81","116","159","207","114","277","91","53","40","52","236","88","196"
"167","15","74","24","71","264","141","112","75","195","69","227","81","116","159","207","114","277","91","53","40","52","236","88","196"
"167","20","74","24","71","264","141","112","75","195","69","227","81","116","159","207","114","277","91","53","40","52","236","88","196"
"167","20","74","24","71","264","141","112","75","195","69","227","81","116","159","207","114","277","91","53","40","52","236","88","196"
"167","20","74","24","71","264","141","112","75","195","69","227","81","116","159","207","114","277","91","53","40","52","236","88","196"
"167","20","74","24","71","264","141","112","75","195","69","227","81","116","159","207","114","277","91","53","40","52","236","88","196"
"167","20","74","24","71","264","141","112","75","195","69","227","81","116","159","207","114","277","91","53","40","52","236","88","196"
"167","20","74","24","71","264","141","112","75","195","69","227","81","116","159","207","114","277","91","53","40","52","236","88","196"
"167","20","74","24","71","264","141","112","75","195","69","227","81","116","159","207","114","277","91","53","40","52","236","88","196"
"167","20","74","24","71","264","141","112","75","195","69","227","81","116","159","207","114","277","91","53","40","52","236","88","196"
"167","20","74","24","71","264","141","112","75","195","69","227","81","116","159","207","114","277","91","53","40","52","236","88","196"
"167","20","74","24","71","264","141","112","75","195","69","227","81","116","159","207","114","277","91","53","40","52","236","88","196"
"167","20","74","24","71","264","141","112","75","195","69","227","81","116","159","207","114","277","91","53","40","52","236","88","196"
"167","20","74","24","71","264","141","112","75","195","69","227","81","116","159","207","114","277","91","53","50","52","236","88","196"
"167","20","74","24","71","264","141","112","75","195","69","227","81","116","159","207","114","277","91","53","50","52","236","88","196"
"167","20","74","24","71","264","141","112","75","195","69","227","81","116","159","207","114","277","91","53","50","52","236","88","196"
"167","20","74","24","71","264","141","112","75","195","69","227","81","116","159","207","114","277","91","53","50","52","236","88","196"
"167","20","74","24","71","264","141","112","75","195","69","227","81","116","159","207","114","278","91","53","50","52","236","88","196"
"167","20","74","24","71","264","141","112","75","195","69","227","81","116","159","207","114","278","91","53","50","52","249","88","196"
"167","20","74","24","71","264","141","112","75","202","69","227","81","116","159","207","114","278","91","53","50","52","249","88","196"
"167","20","74","24","71","264","141","99","75","202","69","227","81","116","159","207","114","278","91","53","50","52","249","88","196"
"167","20","74","24","71","264","141","99","75","202","69","227","81","116","159","207","114","278","91","53","50","65","249","88","196"
